Section,Key,Context / Where it shows,English,Norwegian (current),Notes for Rami
cycle2Begins,cycle2Begins.subtitle,Screen shown when starting next 12-week cycle,"Your new starting weights have been calculated from your Week 12 performance. Week 1 starts now, heavier.","De nye startvektene dine er beregnet fra Uke 12-prestasjonen din. Uke 1 starter nå, tyngre.",
cycle2Begins,cycle2Begins.colExercises,Screen shown when starting next 12-week cycle,Exercises,Øvelser,
cycle2Begins,cycle2Begins.colOld,Screen shown when starting next 12-week cycle,Old,Gammel,
cycle2Begins,cycle2Begins.colNew,Screen shown when starting next 12-week cycle,New,Ny,
cycle2Begins,cycle2Begins.footnote,Screen shown when starting next 12-week cycle,Your previous 12-week cycle is saved permanently in your history.,Din forrige 12-ukers syklus er lagret permanent i historikken.,
cycle2Begins,cycle2Begins.cta,Screen shown when starting next 12-week cycle,"Start Cycle 2, Week 1","Start Syklus 2, Uke 1",
cycle2Begins,cycle2Begins.empty,Screen shown when starting next 12-week cycle,Not enough cycle 1 data yet.,Ikke nok syklus 1-data ennå.,
cycle2Begins,cycle2Begins.lifts.benchPress,Screen shown when starting next 12-week cycle,Bench Press,Benkpress,
cycle2Begins,cycle2Begins.lifts.squat,Screen shown when starting next 12-week cycle,Squat,Knebøy,
cycle2Begins,cycle2Begins.lifts.militaryPress,Screen shown when starting next 12-week cycle,Military Press,Skulderpress,
cycle2Begins,cycle2Begins.lifts.inclinePress,Screen shown when starting next 12-week cycle,Incline Press,Skrå benkpress,
cycle2Begins,cycle2Begins.lifts.barbellRow,Screen shown when starting next 12-week cycle,Barbell Row,Stangroing,
cycle2Begins,cycle2Begins.lifts.inclineBarbellPress,Screen shown when starting next 12-week cycle,Incline Barbell Press,Skrå benkpress med stang,
cycle2Begins,cycle2Begins.lifts.tBarRow,Screen shown when starting next 12-week cycle,T-Bar Row,T-stang roing,
cycle2Begins,cycle2Begins.lifts.frontSquat,Screen shown when starting next 12-week cycle,Front Squat,Frontknebøy,
cycle2Begins,cycle2Begins.lifts.behindNeckPress,Screen shown when starting next 12-week cycle,Behind-the-Neck Press,Bak-nakke press,
cycle2Begins,cycle2Begins.lifts.closeGripBenchPress,Screen shown when starting next 12-week cycle,Close-Grip Bench Press,Smalt grep benkpress,
whatComesNow,whatComesNow.title,Choice after 12 weeks (Restart / Deload / Next program),What Comes Now?,Hva kommer nå?,
whatComesNow,whatComesNow.subtitle,Choice after 12 weeks (Restart / Deload / Next program),Choose how you continue your journey. There is no wrong answer.,Velg hvordan du vil fortsette reisen. Det finnes ingen feil svar.,
whatComesNow,whatComesNow.cta,Choice after 12 weeks (Restart / Deload / Next program),Confirm & Start,Bekreft og start,
whatComesNow,whatComesNow.errorTitle,Choice after 12 weeks (Restart / Deload / Next program),Couldn't start next cycle,Kunne ikke starte neste syklus,
whatComesNow,whatComesNow.restart.title,Choice after 12 weeks (Restart / Deload / Next program),Restart Heavier,Start tyngre,
whatComesNow,whatComesNow.restart.badge,Choice after 12 weeks (Restart / Deload / Next program),Most Popular,Mest populær,
whatComesNow,whatComesNow.restart.bullets[0],Choice after 12 weeks (Restart / Deload / Next program),The program resets to Week 1.,Programmet starter på nytt fra Uke 1.,
whatComesNow,whatComesNow.restart.bullets[1],Choice after 12 weeks (Restart / Deload / Next program),It starts with new weights calculated from your Week 12 performance.,Det starter med nye vekter beregnet fra Uke 12-prestasjonen din.,
whatComesNow,whatComesNow.restart.bullets[2],Choice after 12 weeks (Restart / Deload / Next program),Progressive overload continues from a stronger base.,Progressiv overbelastning fortsetter fra et sterkere grunnlag.,
whatComesNow,whatComesNow.deload.title,Choice after 12 weeks (Restart / Deload / Next program),Deload Week,Avlastningsuke,
whatComesNow,whatComesNow.deload.badge,Choice after 12 weeks (Restart / Deload / Next program),Recommended,Anbefalt,
whatComesNow,whatComesNow.deload.bullets[0],Choice after 12 weeks (Restart / Deload / Next program),One week at 55% of your Week 12 weights.,Én uke på 55 % av Uke 12-vektene dine.,
whatComesNow,whatComesNow.deload.bullets[1],Choice after 12 weeks (Restart / Deload / Next program),"Full recovery for muscles, joints, and nervous system — then restart heavier.","Full restitusjon for muskler, ledd og nervesystem — så start tyngre.",
whatComesNow,whatComesNow.next.title,Choice after 12 weeks (Restart / Deload / Next program),Next Program,Neste program,
whatComesNow,whatComesNow.next.badge,Choice after 12 weeks (Restart / Deload / Next program),ERA Pro,ERA Pro,
whatComesNow,whatComesNow.next.bullets[0],Choice after 12 weeks (Restart / Deload / Next program),You have outgrown this program.,Du har vokst forbi dette programmet.,
whatComesNow,whatComesNow.next.bullets[1],Choice after 12 weeks (Restart / Deload / Next program),ERA suggests your next level — Intermediate or Advanced — for a new challenge.,ERA foreslår ditt neste nivå — Mellomliggende eller Avansert — for en ny utfordring.,
profile,profile.fallbackName,"Profile + Settings (subscription, language, legal Terms/Privacy)",User,Bruker,
profile,profile.sections.subscription,"Profile + Settings (subscription, language, legal Terms/Privacy)",Subscription,Abonnement,
profile,profile.sections.appSettings,"Profile + Settings (subscription, language, legal Terms/Privacy)",App Settings,App-innstillinger,
profile,profile.sections.support,"Profile + Settings (subscription, language, legal Terms/Privacy)",Support,Støtte,
profile,profile.sections.sessionManagement,"Profile + Settings (subscription, language, legal Terms/Privacy)",Session Management,Øktbehandling,
profile,profile.language,"Profile + Settings (subscription, language, legal Terms/Privacy)",Language,Språk,
profile,profile.weightUnit,"Profile + Settings (subscription, language, legal Terms/Privacy)",Weight Unit,Vektenhet,
profile,profile.termsOfService,"Profile + Settings (subscription, language, legal Terms/Privacy)",Terms of Service,Vilkår for bruk,
profile,profile.privacyPolicy,"Profile + Settings (subscription, language, legal Terms/Privacy)",Privacy Policy,Personvern,
profile,profile.signOut,"Profile + Settings (subscription, language, legal Terms/Privacy)",Sign Out,Logg ut,
profile,profile.deleteAccount,"Profile + Settings (subscription, language, legal Terms/Privacy)",Delete Account,Slett konto,
profile,profile.deleteAccountConfirmTitle,"Profile + Settings (subscription, language, legal Terms/Privacy)",Delete account?,Slette konto?,
profile,profile.deleteAccountConfirmBody,"Profile + Settings (subscription, language, legal Terms/Privacy)","This will permanently delete all your data — workouts, PRs, streaks, photos, and goals. You'll be signed out and need to start fresh. This cannot be undone.","Dette sletter alle dine data permanent — treninger, PRs, streaks, bilder og mål. Du blir logget ut og må starte på nytt. Dette kan ikke angres.",
profile,profile.deleteAccountCancel,"Profile + Settings (subscription, language, legal Terms/Privacy)",Cancel,Avbryt,
profile,profile.deleteAccountConfirm,"Profile + Settings (subscription, language, legal Terms/Privacy)",Delete,Slett,
profile,profile.deleteAccountFailedTitle,"Profile + Settings (subscription, language, legal Terms/Privacy)",Couldn't delete account,Kunne ikke slette konto,
profile,profile.version,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA v1.0.0,ERA v1.0.0,
profile,profile.freeTrial,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Free Trial,ERA Gratis prøveperiode,
profile,profile.tierLabel.free,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Free,ERA Gratis,
profile,profile.tierLabel.standard,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Standard,ERA Standard,
profile,profile.tierLabel.pro,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Pro,ERA Pro,
profile,profile.manageSubscription,"Profile + Settings (subscription, language, legal Terms/Privacy)",Manage Subscription,Administrer abonnement,
profile,profile.upgradePlan,"Profile + Settings (subscription, language, legal Terms/Privacy)",Upgrade Plan,Oppgrader abonnement,
profile,profile.upgradeFailed,"Profile + Settings (subscription, language, legal Terms/Privacy)",Couldn't open paywall. Please try again.,Kunne ikke åpne paywall. Prøv igjen.,
profile,profile.freePlanCta,"Profile + Settings (subscription, language, legal Terms/Privacy)",Upgrade for full access,Oppgrader for full tilgang,
profile,profile.daysLeft,"Profile + Settings (subscription, language, legal Terms/Privacy)",{{count}} Days Left,{{count}} dager igjen,
profile,profile.eraPoints,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA points,ERA-poeng,
profile,profile.dayStreak,"Profile + Settings (subscription, language, legal Terms/Privacy)",day streak,dagers rekke,
profile,profile.workouts,"Profile + Settings (subscription, language, legal Terms/Privacy)",Workouts,Treninger,
profile,profile.languageEng,"Profile + Settings (subscription, language, legal Terms/Privacy)",ENG,ENG,
profile,profile.languageNor,"Profile + Settings (subscription, language, legal Terms/Privacy)",NOR,NOR,
profile,profile.weightKg,"Profile + Settings (subscription, language, legal Terms/Privacy)",KG,KG,
profile,profile.weightLbs,"Profile + Settings (subscription, language, legal Terms/Privacy)",LBS,LBS,
profile,profile.weekProgress,"Profile + Settings (subscription, language, legal Terms/Privacy)",Week {{current}}/{{total}},Uke {{current}}/{{total}},
profile,profile.metaSeparator,"Profile + Settings (subscription, language, legal Terms/Privacy)", • , • ,
profile,profile.gender.male,"Profile + Settings (subscription, language, legal Terms/Privacy)",Male,Mann,
profile,profile.gender.female,"Profile + Settings (subscription, language, legal Terms/Privacy)",Female,Kvinne,
profile,profile.level.beginner,"Profile + Settings (subscription, language, legal Terms/Privacy)",Beginner,Nybegynner,
profile,profile.level.intermediate,"Profile + Settings (subscription, language, legal Terms/Privacy)",Intermediate,Viderekommen,
profile,profile.level.advanced,"Profile + Settings (subscription, language, legal Terms/Privacy)",Advanced,Avansert,
profile,profile.legal.eyebrow,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Fitness,ERA Fitness,
profile,profile.legal.lastUpdatedLabel,"Profile + Settings (subscription, language, legal Terms/Privacy)",Last updated,Sist oppdatert,
profile,profile.legal.contactLabel,"Profile + Settings (subscription, language, legal Terms/Privacy)",Get in touch,Ta kontakt,
profile,profile.legal.contactValue,"Profile + Settings (subscription, language, legal Terms/Privacy)",support@erafitness.no,support@erafitness.no,
profile,profile.legal.terms.title,"Profile + Settings (subscription, language, legal Terms/Privacy)",Terms of Service,Vilkår for bruk,
profile,profile.legal.terms.lastUpdated,"Profile + Settings (subscription, language, legal Terms/Privacy)",May 2026,Mai 2026,
profile,profile.legal.terms.intro,"Profile + Settings (subscription, language, legal Terms/Privacy)","Welcome to ERA. By creating an account or using the ERA mobile app, you agree to these Terms of Service. Please read them carefully — they govern how you use the app, your subscription, and the personalized training and nutrition guidance we provide.","Velkommen til ERA. Når du oppretter en konto eller bruker ERA-appen, godtar du disse vilkårene. Les dem nøye – de beskriver hvordan du kan bruke appen, abonnementet ditt og den personlige treningen og kostholdsveiledningen vi tilbyr.",
profile,profile.legal.terms.sections[0].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Acceptance of Terms,Godkjenning av vilkårene,
profile,profile.legal.terms.sections[0].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","By installing, accessing, or using the ERA app, you confirm that you are at least 16 years old and that you accept these terms in full. If you do not agree, please discontinue use and uninstall the app.","Ved å installere, åpne eller bruke ERA-appen bekrefter du at du er minst 16 år, og at du godtar disse vilkårene fullt ut. Hvis du ikke er enig, må du slutte å bruke appen og avinstallere den.",
profile,profile.legal.terms.sections[1].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Health & Fitness Disclaimer,Helse- og treningsforbehold,
profile,profile.legal.terms.sections[1].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","ERA provides training programs, nutrition guidance, and progress tracking for general fitness purposes only. We are not a medical provider. Consult a qualified physician before starting any new training or nutrition plan, especially if you have a pre-existing condition, are pregnant, or are recovering from an injury. You exercise at your own risk.","ERA tilbyr treningsprogrammer, kostholdsveiledning og progresjonssporing kun for generell treningsbruk. Vi er ikke en helseaktør. Kontakt lege før du starter et nytt program, særlig ved sykdom, graviditet eller skade. All trening skjer på eget ansvar.",
profile,profile.legal.terms.sections[2].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Your Account,Din konto,
profile,profile.legal.terms.sections[2].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","You are responsible for the accuracy of the information you provide during onboarding, for safeguarding your login credentials, and for all activity that occurs under your account. Notify us immediately if you suspect unauthorized access.","Du er ansvarlig for at opplysningene du oppgir i onboarding er korrekte, for å holde innloggingsinformasjonen din trygg, og for all aktivitet som skjer fra kontoen din. Si fra umiddelbart hvis du mistenker uautorisert tilgang.",
profile,profile.legal.terms.sections[3].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Subscriptions & Billing,Abonnement og betaling,
profile,profile.legal.terms.sections[3].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","ERA offers Free Trial, Standard, Pro, and Familie subscription tiers. Paid subscriptions renew automatically through your app store account unless cancelled at least 24 hours before the renewal date. Refunds are handled by the app store in accordance with their policies.","ERA har Gratis prøveperiode, Standard, Pro og Familie. Betalte abonnementer fornyes automatisk via app-butikk-kontoen din med mindre du sier opp minst 24 timer før fornyelsen. Refusjon håndteres av app-butikken etter deres regler.",
profile,profile.legal.terms.sections[4].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Acceptable Use,Akseptabel bruk,
profile,profile.legal.terms.sections[4].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","You agree not to misuse the app, attempt to reverse-engineer it, share your account, scrape content, or use ERA to harass, impersonate, or harm other users on the social leaderboard. We may suspend or terminate accounts that violate these rules.","Du forplikter deg til å ikke misbruke appen, ikke prøve å reversere koden, ikke dele kontoen din, ikke hente ut innhold automatisk, og ikke trakassere, utgi deg for noen andre eller skade andre brukere på den sosiale ledertavlen. Vi kan stenge kontoer som bryter disse reglene.",
profile,profile.legal.terms.sections[5].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Content & Intellectual Property,Innhold og opphavsrett,
profile,profile.legal.terms.sections[5].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","All training programs, exercise videos, written guidance, brand assets, and UI designs in ERA are owned by ERA Fitness AS and protected by Norwegian and international copyright law. You receive a personal, non-transferable licence to use the content while your subscription is active.","Alle treningsprogrammer, øvelsesvideoer, tekster, merkevareelementer og designet i ERA eies av ERA Fitness AS og er beskyttet av norsk og internasjonal opphavsrett. Du får en personlig, ikke-overførbar lisens til å bruke innholdet så lenge abonnementet er aktivt.",
profile,profile.legal.terms.sections[6].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",User-Generated Content,Brukergenerert innhold,
profile,profile.legal.terms.sections[6].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","Progress photos, notes, weight logs, and similar entries you create stay yours. By uploading them, you grant ERA a limited licence to store and display this content back to you and (if you opt in) to friends on your leaderboard. We do not sell your personal content.","Progresjonsbilder, notater, vektlogger og lignende du legger inn er fortsatt dine. Ved å laste opp gir du ERA en begrenset lisens til å lagre og vise innholdet til deg, og – om du velger det – til venner på ledertavlen din. Vi selger ikke innholdet ditt videre.",
profile,profile.legal.terms.sections[7].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Termination,Oppsigelse,
profile,profile.legal.terms.sections[7].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","You may stop using ERA and delete your account at any time from the Profile screen. We may suspend or terminate access if you violate these terms, abuse other users, or use the service in a way that puts the platform or its members at risk.","Du kan slutte å bruke ERA og slette kontoen din når som helst fra Profil-skjermen. Vi kan suspendere eller stenge tilgang ved brudd på vilkårene, mobbing av andre brukere eller bruk som setter plattformen eller medlemmene i fare.",
profile,profile.legal.terms.sections[8].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Limitation of Liability,Ansvarsbegrensning,
profile,profile.legal.terms.sections[8].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","To the extent permitted by law, ERA Fitness AS is not liable for indirect damages, lost progress data caused by device issues, or injuries arising from your training. Our total liability is limited to the amount you have paid us in the last 12 months.","Innenfor det loven tillater, er ERA Fitness AS ikke ansvarlig for indirekte tap, tapt treningsdata på grunn av enhetsfeil, eller skader som oppstår under trening. Vårt samlede ansvar er begrenset til det du har betalt oss de siste 12 månedene.",
profile,profile.legal.terms.sections[9].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Changes to These Terms,Endringer i vilkårene,
profile,profile.legal.terms.sections[9].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","We may update these terms when we add features, change pricing, or adjust legal requirements. Significant changes will be announced in-app. Continued use after an update means you accept the revised terms.","Vi kan oppdatere vilkårene når vi legger til funksjoner, endrer priser eller justerer juridiske krav. Vesentlige endringer varsles i appen. Fortsatt bruk etter en oppdatering betyr at du godtar de nye vilkårene.",
profile,profile.legal.terms.sections[10].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Governing Law,Lovvalg,
profile,profile.legal.terms.sections[10].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","These terms are governed by the laws of Norway. Disputes will be handled by the courts of Oslo, unless mandatory consumer law requires a different venue.","Vilkårene er underlagt norsk lov. Tvister behandles av Oslo tingrett, med mindre ufravikelig forbrukerlovgivning krever et annet verneting.",
profile,profile.legal.privacy.title,"Profile + Settings (subscription, language, legal Terms/Privacy)",Privacy Policy,Personvernerklæring,
profile,profile.legal.privacy.lastUpdated,"Profile + Settings (subscription, language, legal Terms/Privacy)",May 2026,Mai 2026,
profile,profile.legal.privacy.intro,"Profile + Settings (subscription, language, legal Terms/Privacy)","Your trust matters. This Privacy Policy explains what information ERA collects, how we use it to personalize your training and nutrition, and the choices you have. We follow the EU GDPR and Norwegian privacy law.","Tilliten din betyr alt. Denne personvernerklæringen forklarer hva ERA samler inn, hvordan vi bruker det til å tilpasse trening og kosthold, og hvilke valg du har. Vi følger EU GDPR og norsk personvernlovgivning.",
profile,profile.legal.privacy.sections[0].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Information We Collect,Informasjonen vi samler inn,
profile,profile.legal.privacy.sections[0].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","We collect the account details you provide (name, email), onboarding answers (gender, training level, goals, weight, height), and the workout, nutrition, and progress data you log. We also collect basic device and diagnostic information so we can keep the app stable.","Vi samler inn kontoopplysningene dine (navn, e-post), svarene dine fra onboarding (kjønn, treningsnivå, mål, vekt, høyde) og dataene du logger om trening, kosthold og fremgang. Vi samler også inn grunnleggende enhets- og diagnostikkinformasjon for å holde appen stabil.",
profile,profile.legal.privacy.sections[1].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",How We Use Your Data,Hvordan vi bruker dataene,
profile,profile.legal.privacy.sections[1].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","Your data is used to generate your 12-week program, suggest weights and nutrition targets, track personal records, and power your leaderboard and streak. We never sell your data and we never use your progress photos for advertising.","Dataene brukes til å lage 12-ukers programmet ditt, foreslå vekter og kostholdsmål, spore personlige rekorder, og drive ledertavlen og rekken din. Vi selger aldri data og bruker aldri progresjonsbildene dine til annonser.",
profile,profile.legal.privacy.sections[2].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Legal Basis (GDPR),Rettslig grunnlag (GDPR),
profile,profile.legal.privacy.sections[2].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","We process your data under your consent (onboarding inputs, photos), to perform the subscription contract (training plan, billing), and under our legitimate interest in keeping the service safe and improving it.","Vi behandler data basert på samtykket ditt (onboarding-svar, bilder), for å oppfylle abonnementsavtalen (treningsplan, fakturering), og på grunnlag av berettiget interesse for å holde tjenesten trygg og forbedret.",
profile,profile.legal.privacy.sections[3].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Sharing With Third Parties,Deling med tredjeparter,
profile,profile.legal.privacy.sections[3].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","We share limited data only with the providers that help us run ERA: Supabase (database and authentication), our analytics provider for crash-only diagnostics, and Apple or Google for subscription billing. These providers act as processors under data agreements.","Vi deler kun nødvendige data med leverandørene som hjelper oss å drive ERA: Supabase (database og autentisering), analyseleverandøren for kun feilsøking ved krasj, og Apple eller Google for abonnementsfakturering. Disse opptrer som databehandlere under egne avtaler.",
profile,profile.legal.privacy.sections[4].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Data Storage & Security,Lagring og sikkerhet,
profile,profile.legal.privacy.sections[4].body,"Profile + Settings (subscription, language, legal Terms/Privacy)",Your data is stored on EU-region Supabase servers with encryption in transit and at rest. Access is limited to authorized ERA staff. We use Row-Level Security so other users cannot read your private logs.,"Dataene lagres på Supabase-servere i EU-regionen, kryptert under overføring og i hvile. Tilgangen er begrenset til autorisert ERA-personell. Vi bruker Row-Level Security slik at andre brukere ikke kan lese dine private logger.",
profile,profile.legal.privacy.sections[5].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Your Rights,Rettighetene dine,
profile,profile.legal.privacy.sections[5].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","You can access, correct, export, or delete your data at any time from the Profile screen, or by writing to us. Under GDPR you also have the right to object to processing and to lodge a complaint with Datatilsynet.","Du kan når som helst få innsyn i, rette, eksportere eller slette dataene dine fra Profil-skjermen, eller ved å skrive til oss. Etter GDPR har du også rett til å protestere mot behandling og klage til Datatilsynet.",
profile,profile.legal.privacy.sections[6].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Progress Photos & Social Features,Progresjonsbilder og sosialt,
profile,profile.legal.privacy.sections[6].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","Progress photos are private by default and visible only to you. If you choose to share them, you control with whom. Friends on your leaderboard see only the metrics you enable — never your photos or notes.","Progresjonsbilder er private som standard og synlige kun for deg. Hvis du velger å dele dem, bestemmer du selv med hvem. Venner på ledertavlen ser kun målene du aktiverer – aldri bilder eller notater.",
profile,profile.legal.privacy.sections[7].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Data Retention,Oppbevaring av data,
profile,profile.legal.privacy.sections[7].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","We keep your account data while your account is active. If you delete your account, personal data is removed within 30 days, except where we are required by law to retain billing records.","Vi beholder kontodataene så lenge kontoen er aktiv. Hvis du sletter kontoen, fjernes personopplysninger innen 30 dager, unntatt der vi er lovpålagt å beholde regnskapsinformasjon.",
profile,profile.legal.privacy.sections[8].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Children,Barn,
profile,profile.legal.privacy.sections[8].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","ERA is not directed at children under 16. We do not knowingly collect data from children. If you believe a child has registered, contact us and we will remove the account.","ERA er ikke rettet mot barn under 16 år. Vi samler ikke bevisst inn data fra barn. Hvis du tror et barn har registrert seg, ta kontakt så fjerner vi kontoen.",
profile,profile.legal.privacy.sections[9].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Cookies & Tracking,Informasjonskapsler og sporing,
profile,profile.legal.privacy.sections[9].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","The mobile app does not use advertising cookies or cross-app tracking. We only use device identifiers required for sign-in, push notifications you have enabled, and crash diagnostics.","Mobilappen bruker ikke annonseinformasjonskapsler eller kryssappsporing. Vi bruker kun enhets-ID-er som er nødvendige for innlogging, push-varsler du har godtatt, og krasjdiagnostikk.",
profile,profile.legal.privacy.sections[10].heading,"Profile + Settings (subscription, language, legal Terms/Privacy)",Changes to This Policy,Endringer i erklæringen,
profile,profile.legal.privacy.sections[10].body,"Profile + Settings (subscription, language, legal Terms/Privacy)","If we change how we handle your data, we will notify you in-app before the change takes effect. The latest version will always be available in the Profile screen.","Hvis vi endrer hvordan vi håndterer data, varsler vi deg i appen før endringen trer i kraft. Den nyeste versjonen er alltid tilgjengelig i Profil-skjermen.",
profile,profile.subscription.title,"Profile + Settings (subscription, language, legal Terms/Privacy)",Manage Subscription,Administrer abonnement,
profile,profile.subscription.active,"Profile + Settings (subscription, language, legal Terms/Privacy)",Active,Aktiv,
profile,profile.subscription.manageInStore,"Profile + Settings (subscription, language, legal Terms/Privacy)",Cancel or change plan,Avbryt eller bytt abonnement,
profile,profile.subscription.standard.name,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Standard,ERA Standard,
profile,profile.subscription.standard.price,"Profile + Settings (subscription, language, legal Terms/Privacy)",NOK 99/month,NOK 99/måned,
profile,profile.subscription.standard.features[0],"Profile + Settings (subscription, language, legal Terms/Privacy)",Full 12-week training program,Komplett 12-ukers treningsprogram,
profile,profile.subscription.standard.features[1],"Profile + Settings (subscription, language, legal Terms/Privacy)",Nutrition plan per training day,Kostholdsplan per treningsdag,
profile,profile.subscription.standard.features[2],"Profile + Settings (subscription, language, legal Terms/Privacy)",Workout log stored permanently,Treningslogg lagret permanent,
profile,profile.subscription.standard.features[3],"Profile + Settings (subscription, language, legal Terms/Privacy)",Personal records and streak,Personlige rekorder og rekke,
profile,profile.subscription.standard.features[4],"Profile + Settings (subscription, language, legal Terms/Privacy)",Up to 5 friends in social competition,Opptil 5 venner i sosial konkurranse,
profile,profile.subscription.standard.features[5],"Profile + Settings (subscription, language, legal Terms/Privacy)",Progress photos,Progresjonsbilder,
profile,profile.subscription.standard.cta,"Profile + Settings (subscription, language, legal Terms/Privacy)",Upgrade to Standard,Oppgrader til Standard,
profile,profile.subscription.pro.name,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA PRO,ERA PRO,
profile,profile.subscription.pro.price,"Profile + Settings (subscription, language, legal Terms/Privacy)",NOK 199/month,NOK 199/måned,
profile,profile.subscription.pro.features[0],"Profile + Settings (subscription, language, legal Terms/Privacy)",Everything in Standard,Alt i Standard,
profile,profile.subscription.pro.features[1],"Profile + Settings (subscription, language, legal Terms/Privacy)",AI alternative workouts for injuries or special days,AI-alternative treninger ved skader eller spesielle dager,
profile,profile.subscription.pro.features[2],"Profile + Settings (subscription, language, legal Terms/Privacy)",Unlimited friends in social competition,Ubegrenset venner i sosial konkurranse,
profile,profile.subscription.pro.features[3],"Profile + Settings (subscription, language, legal Terms/Privacy)",Weekly personal progress report,Ukentlig personlig fremgangsrapport,
profile,profile.subscription.pro.features[4],"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Pro badge on profile,ERA Pro-merke på profil,
profile,profile.subscription.pro.features[5],"Profile + Settings (subscription, language, legal Terms/Privacy)",Early access to new features,Tidlig tilgang til nye funksjoner,
profile,profile.subscription.pro.features[6],"Profile + Settings (subscription, language, legal Terms/Privacy)",Priority customer support,Prioritert kundestøtte,
profile,profile.subscription.pro.cta,"Profile + Settings (subscription, language, legal Terms/Privacy)",Upgrade to PRO,Oppgrader til PRO,
profile,profile.subscription.familie.name,"Profile + Settings (subscription, language, legal Terms/Privacy)",ERA Familie,ERA Familie,
profile,profile.subscription.familie.price,"Profile + Settings (subscription, language, legal Terms/Privacy)",NOK 299/month,NOK 299/måned,
profile,profile.subscription.familie.features[0],"Profile + Settings (subscription, language, legal Terms/Privacy)",Up to 5 family members – each gets full Pro access,Opptil 5 familiemedlemmer – hver får full Pro-tilgang,
profile,profile.subscription.familie.features[1],"Profile + Settings (subscription, language, legal Terms/Privacy)",Private family leaderboard – compete as a family,Privat familieliste – konkurrer som familie,
profile,profile.subscription.familie.features[2],"Profile + Settings (subscription, language, legal Terms/Privacy)",Each member gets their own program and log,Hvert medlem får eget program og logg,
profile,profile.subscription.familie.features[3],"Profile + Settings (subscription, language, legal Terms/Privacy)",See family members progress and PRs,Se familiemedlemmenes fremgang og rekorder,
profile,profile.subscription.familie.features[4],"Profile + Settings (subscription, language, legal Terms/Privacy)",One payment – one invoice,Én betaling – én faktura,
profile,profile.subscription.familie.features[5],"Profile + Settings (subscription, language, legal Terms/Privacy)",Lowest churn rate – families stay together,Lavest avgang – familier blir sammen,
profile,profile.subscription.familie.cta,"Profile + Settings (subscription, language, legal Terms/Privacy)",Upgrade to Familie,Oppgrader til Familie,
nutrition,nutrition.title,"Nutrition tab — daily targets, meal logging, water",Nutrition,Ernæring,
nutrition,nutrition.eyebrow,"Nutrition tab — daily targets, meal logging, water",fuel your performance,drivstoff for ytelsen din,
